Year,Territory,Value,Indicator
2018,ON,1.211,Death Certificate Only
2019,ON,1.254,Death Certificate Only
2020,ON,0.000,Death Certificate Only
1992,MB,2.835,Death Certificate Only
1993,MB,1.937,Death Certificate Only
1994,MB,1.347,Death Certificate Only
1995,MB,1.974,Death Certificate Only
1996,MB,2.198,Death Certificate Only
1997,MB,2.183,Death Certificate Only
1998,MB,1.377,Death Certificate Only
1999,MB,1.372,Death Certificate Only
2000,MB,2.558,Death Certificate Only
2001,MB,2.572,Death Certificate Only
2002,MB,2.649,Death Certificate Only
2003,MB,0.926,Death Certificate Only
2004,MB,1.744,Death Certificate Only
2005,MB,1.666,Death Certificate Only
2006,MB,1.339,Death Certificate Only
2007,MB,0.686,Death Certificate Only
2008,MB,0.731,Death Certificate Only
2009,MB,0.762,Death Certificate Only
2010,MB,0.628,Death Certificate Only
2011,MB,0.699,Death Certificate Only
2012,MB,0.573,Death Certificate Only
2013,MB,0.013,Death Certificate Only
2014,MB,0.000,Death Certificate Only
2015,MB,0.000,Death Certificate Only
2016,MB,0.000,Death Certificate Only
2017,MB,0.000,Death Certificate Only
2018,MB,0.000,Death Certificate Only
2019,MB,0.405,Death Certificate Only
2020,MB,0.000,Death Certificate Only
1992,SK,1.990,Death Certificate Only
1993,SK,1.877,Death Certificate Only
1994,SK,1.699,Death Certificate Only
1995,SK,2.530,Death Certificate Only
1996,SK,3.155,Death Certificate Only
1997,SK,2.928,Death Certificate Only
1998,SK,3.101,Death Certificate Only
1999,SK,3.520,Death Certificate Only
2000,SK,3.611,Death Certificate Only
2001,SK,3.703,Death Certificate Only
2002,SK,1.285,Death Certificate Only
2003,SK,1.125,Death Certificate Only
2004,SK,0.429,Death Certificate Only
2005,SK,1.563,Death Certificate Only
2006,SK,2.248,Death Certificate Only
2007,SK,1.370,Death Certificate Only
2008,SK,1.018,Death Certificate Only
2009,SK,0.981,Death Certificate Only
2010,SK,0.668,Death Certificate Only
2011,SK,0.879,Death Certificate Only
2012,SK,0.837,Death Certificate Only
2013,SK,0.684,Death Certificate Only
2014,SK,0.680,Death Certificate Only
2015,SK,0.628,Death Certificate Only
2016,SK,0.611,Death Certificate Only
2017,SK,0.521,Death Certificate Only
2018,SK,0.557,Death Certificate Only
2019,SK,0.335,Death Certificate Only
2020,SK,0.387,Death Certificate Only
1992,AB,0.074,Death Certificate Only
1993,AB,0.045,Death Certificate Only
1994,AB,0.087,Death Certificate Only
1995,AB,0.086,Death Certificate Only
1996,AB,0.152,Death Certificate Only
1997,AB,0.168,Death Certificate Only
1998,AB,0.253,Death Certificate Only
1999,AB,0.073,Death Certificate Only
2000,AB,0.280,Death Certificate Only
2001,AB,0.220,Death Certificate Only
2002,AB,0.300,Death Certificate Only
2003,AB,0.229,Death Certificate Only
2004,AB,0.254,Death Certificate Only
2005,AB,0.246,Death Certificate Only
2006,AB,0.291,Death Certificate Only
2007,AB,0.287,Death Certificate Only
2008,AB,0.126,Death Certificate Only
2009,AB,0.138,Death Certificate Only
2010,AB,0.135,Death Certificate Only
2011,AB,0.086,Death Certificate Only
2012,AB,0.090,Death Certificate Only
2013,AB,0.139,Death Certificate Only
2014,AB,0.096,Death Certificate Only
2015,AB,0.130,Death Certificate Only
2016,AB,0.104,Death Certificate Only
2017,AB,0.138,Death Certificate Only
2018,AB,0.180,Death Certificate Only
2019,AB,0.105,Death Certificate Only
2020,AB,0.129,Death Certificate Only
1992,BC,5.002,Death Certificate Only
1993,BC,4.130,Death Certificate Only
1994,BC,2.889,Death Certificate Only
1995,BC,2.585,Death Certificate Only
1996,BC,1.837,Death Certificate Only
1997,BC,1.023,Death Certificate Only
1998,BC,1.274,Death Certificate Only
1999,BC,1.760,Death Certificate Only
2000,BC,1.642,Death Certificate Only
2001,BC,2.019,Death Certificate Only
2002,BC,0.825,Death Certificate Only
2003,BC,1.127,Death Certificate Only
2004,BC,1.356,Death Certificate Only
2005,BC,1.333,Death Certificate Only
2006,BC,1.429,Death Certificate Only
2007,BC,1.538,Death Certificate Only
2008,BC,1.541,Death Certificate Only
2009,BC,1.164,Death Certificate Only
2010,BC,1.214,Death Certificate Only
2011,BC,0.662,Death Certificate Only
2012,BC,0.875,Death Certificate Only
2013,BC,0.482,Death Certificate Only
2014,BC,0.434,Death Certificate Only
2015,BC,0.492,Death Certificate Only
2016,BC,0.646,Death Certificate Only
2017,BC,1.206,Death Certificate Only
2018,BC,1.009,Death Certificate Only
2019,BC,0.878,Death Certificate Only
2020,BC,0.840,Death Certificate Only
1992,YT,0.000,Death Certificate Only
1993,YT,0.000,Death Certificate Only
1994,YT,0.000,Death Certificate Only
1995,YT,0.000,Death Certificate Only
1996,YT,0.000,Death Certificate Only
1997,YT,0.000,Death Certificate Only
1998,YT,0.000,Death Certificate Only
1999,YT,0.000,Death Certificate Only
2000,YT,0.000,Death Certificate Only
2001,YT,6.796,Death Certificate Only
2002,YT,10.526,Death Certificate Only
2003,YT,0.000,Death Certificate Only
2004,YT,0.769,Death Certificate Only
2005,YT,4.065,Death Certificate Only
2006,YT,0.000,Death Certificate Only
2007,YT,0.800,Death Certificate Only
2008,YT,0.000,Death Certificate Only
2009,YT,0.000,Death Certificate Only
2010,YT,0.000,Death Certificate Only
2011,YT,0.000,Death Certificate Only
2012,YT,0.000,Death Certificate Only
2013,YT,0.000,Death Certificate Only
2014,YT,0.000,Death Certificate Only
2015,YT,0.000,Death Certificate Only
2016,YT,0.000,Death Certificate Only
2017,YT,0.000,Death Certificate Only
2018,YT,0.000,Death Certificate Only
2019,YT,0.000,Death Certificate Only
2020,YT,0.000,Death Certificate Only
1992,NT,1.563,Death Certificate Only
1993,NT,0.000,Death Certificate Only
1994,NT,0.000,Death Certificate Only
1995,NT,0.000,Death Certificate Only
1996,NT,0.000,Death Certificate Only
1997,NT,0.000,Death Certificate Only
1998,NT,0.000,Death Certificate Only
1999,NT,0.000,Death Certificate Only
2000,NT,1.681,Death Certificate Only
2001,NT,2.727,Death Certificate Only
2002,NT,0.746,Death Certificate Only
2003,NT,0.787,Death Certificate Only
2004,NT,0.000,Death Certificate Only
2005,NT,1.600,Death Certificate Only
2006,NT,0.901,Death Certificate Only
2007,NT,0.000,Death Certificate Only
2008,NT,0.000,Death Certificate Only
2009,NT,0.000,Death Certificate Only
2010,NT,0.000,Death Certificate Only
2011,NT,0.000,Death Certificate Only
2012,NT,0.629,Death Certificate Only
2013,NT,0.694,Death Certificate Only
2014,NT,0.000,Death Certificate Only
2015,NT,0.000,Death Certificate Only
2016,NT,0.513,Death Certificate Only
2017,NT,0.000,Death Certificate Only
2018,NT,0.518,Death Certificate Only
2019,NT,0.935,Death Certificate Only
2020,NT,0.000,Death Certificate Only
1992,NU,4.167,Death Certificate Only
1993,NU,0.000,Death Certificate Only
1994,NU,0.000,Death Certificate Only
1995,NU,0.000,Death Certificate Only
1996,NU,0.000,Death Certificate Only
1997,NU,0.000,Death Certificate Only
1998,NU,0.000,Death Certificate Only
1999,NU,1.724,Death Certificate Only
2000,NU,14.035,Death Certificate Only
2001,NU,3.226,Death Certificate Only
2002,NU,1.449,Death Certificate Only
2003,NU,0.000,Death Certificate Only
2004,NU,0.000,Death Certificate Only
2005,NU,0.000,Death Certificate Only
2006,NU,0.000,Death Certificate Only
2007,NU,0.000,Death Certificate Only
2008,NU,0.000,Death Certificate Only
2009,NU,0.000,Death Certificate Only
2010,NU,0.000,Death Certificate Only
2011,NU,0.000,Death Certificate Only
2012,NU,0.000,Death Certificate Only
2013,NU,0.000,Death Certificate Only
2014,NU,0.000,Death Certificate Only
2015,NU,0.000,Death Certificate Only
2016,NU,0.000,Death Certificate Only
2017,NU,0.000,Death Certificate Only
2018,NU,0.000,Death Certificate Only
2019,NU,0.000,Death Certificate Only
2020,NU,0.000,Death Certificate Only
1992,Canada,82.437,Microscopic Confirmation
1993,Canada,82.758,Microscopic Confirmation
1994,Canada,83.163,Microscopic Confirmation
1995,Canada,82.472,Microscopic Confirmation
1996,Canada,82.529,Microscopic Confirmation
1997,Canada,82.706,Microscopic Confirmation
1998,Canada,82.447,Microscopic Confirmation
1999,Canada,83.068,Microscopic Confirmation
2000,Canada,83.016,Microscopic Confirmation
2001,Canada,82.493,Microscopic Confirmation
2002,Canada,83.151,Microscopic Confirmation
2003,Canada,82.467,Microscopic Confirmation
2004,Canada,83.887,Microscopic Confirmation
2005,Canada,84.048,Microscopic Confirmation
2006,Canada,83.739,Microscopic Confirmation
2007,Canada,86.734,Microscopic Confirmation
2008,Canada,86.911,Microscopic Confirmation
2009,Canada,87.232,Microscopic Confirmation
2010,Canada,84.822,Microscopic Confirmation
2011,Canada,87.951,Microscopic Confirmation
2012,Canada,86.894,Microscopic Confirmation
2013,Canada,89.390,Microscopic Confirmation
2014,Canada,89.580,Microscopic Confirmation
2015,Canada,89.675,Microscopic Confirmation
2016,Canada,89.675,Microscopic Confirmation
2017,Canada,89.448,Microscopic Confirmation
2018,Canada,90.148,Microscopic Confirmation
2019,Canada,90.055,Microscopic Confirmation
2020,Canada,90.962,Microscopic Confirmation
1992,NL,98.227,Microscopic Confirmation
1993,NL,98.450,Microscopic Confirmation
1994,NL,98.026,Microscopic Confirmation
1995,NL,97.568,Microscopic Confirmation
1996,NL,96.188,Microscopic Confirmation
1997,NL,97.773,Microscopic Confirmation
1998,NL,97.688,Microscopic Confirmation
1999,NL,97.573,Microscopic Confirmation
2000,NL,98.203,Microscopic Confirmation
2001,NL,98.082,Microscopic Confirmation
2002,NL,97.615,Microscopic Confirmation
2003,NL,97.639,Microscopic Confirmation
2004,NL,96.491,Microscopic Confirmation
2005,NL,96.321,Microscopic Confirmation
2006,NL,91.975,Microscopic Confirmation
2007,NL,90.912,Microscopic Confirmation
2008,NL,91.278,Microscopic Confirmation
2009,NL,91.939,Microscopic Confirmation
2010,NL,91.208,Microscopic Confirmation
2011,NL,91.454,Microscopic Confirmation
2012,NL,91.676,Microscopic Confirmation
2013,NL,92.866,Microscopic Confirmation
2014,NL,92.862,Microscopic Confirmation
2015,NL,92.593,Microscopic Confirmation
2016,NL,93.670,Microscopic Confirmation
2017,NL,92.300,Microscopic Confirmation
2018,NL,91.781,Microscopic Confirmation
2019,NL,90.905,Microscopic Confirmation
2020,NL,89.852,Microscopic Confirmation
1992,PE,92.075,Microscopic Confirmation
1993,PE,92.577,Microscopic Confirmation
1994,PE,93.478,Microscopic Confirmation
1995,PE,93.539,Microscopic Confirmation
1996,PE,91.236,Microscopic Confirmation
1997,PE,91.329,Microscopic Confirmation
1998,PE,93.852,Microscopic Confirmation
1999,PE,92.752,Microscopic Confirmation
2000,PE,92.617,Microscopic Confirmation
2001,PE,93.116,Microscopic Confirmation
2002,PE,92.317,Microscopic Confirmation
2003,PE,93.069,Microscopic Confirmation
2004,PE,91.506,Microscopic Confirmation
2005,PE,94.137,Microscopic Confirmation
2006,PE,94.615,Microscopic Confirmation
2007,PE,92.694,Microscopic Confirmation
2008,PE,89.967,Microscopic Confirmation
2009,PE,90.852,Microscopic Confirmation
2010,PE,92.642,Microscopic Confirmation
2011,PE,90.953,Microscopic Confirmation
2012,PE,90.944,Microscopic Confirmation
2013,PE,89.565,Microscopic Confirmation
2014,PE,89.388,Microscopic Confirmation
2015,PE,89.792,Microscopic Confirmation
2016,PE,89.279,Microscopic Confirmation
2017,PE,88.324,Microscopic Confirmation
2018,PE,88.120,Microscopic Confirmation
2019,PE,88.240,Microscopic Confirmation
2020,PE,87.489,Microscopic Confirmation
1992,NS,89.157,Microscopic Confirmation
1993,NS,88.341,Microscopic Confirmation
1994,NS,89.667,Microscopic Confirmation
1995,NS,90.608,Microscopic Confirmation
1996,NS,91.255,Microscopic Confirmation
1997,NS,90.263,Microscopic Confirmation
1998,NS,90.274,Microscopic Confirmation
1999,NS,89.857,Microscopic Confirmation
2000,NS,90.073,Microscopic Confirmation
2001,NS,89.392,Microscopic Confirmation
2002,NS,89.799,Microscopic Confirmation
2003,NS,88.826,Microscopic Confirmation
2004,NS,90.342,Microscopic Confirmation
2005,NS,90.135,Microscopic Confirmation
2006,NS,89.584,Microscopic Confirmation
2007,NS,88.488,Microscopic Confirmation
2008,NS,88.576,Microscopic Confirmation
2009,NS,89.582,Microscopic Confirmation
2010,NS,89.092,Microscopic Confirmation
2011,NS,88.855,Microscopic Confirmation
2012,NS,87.383,Microscopic Confirmation
2013,NS,88.208,Microscopic Confirmation
2014,NS,87.848,Microscopic Confirmation
2015,NS,87.408,Microscopic Confirmation
2016,NS,88.189,Microscopic Confirmation
2017,NS,88.819,Microscopic Confirmation
2018,NS,89.632,Microscopic Confirmation
2019,NS,95.928,Microscopic Confirmation
2020,NS,No data,Microscopic Confirmation
1992,NB,91.176,Microscopic Confirmation
1993,NB,92.355,Microscopic Confirmation
1994,NB,91.774,Microscopic Confirmation
1995,NB,91.543,Microscopic Confirmation
1996,NB,92.472,Microscopic Confirmation
1997,NB,92.005,Microscopic Confirmation
1998,NB,91.683,Microscopic Confirmation
1999,NB,92.260,Microscopic Confirmation
2000,NB,92.534,Microscopic Confirmation
2001,NB,92.854,Microscopic Confirmation
2002,NB,91.734,Microscopic Confirmation
2003,NB,91.611,Microscopic Confirmation
2004,NB,91.991,Microscopic Confirmation
2005,NB,92.492,Microscopic Confirmation
2006,NB,93.949,Microscopic Confirmation
2007,NB,91.973,Microscopic Confirmation
2008,NB,92.785,Microscopic Confirmation
2009,NB,92.760,Microscopic Confirmation
2010,NB,92.949,Microscopic Confirmation
2011,NB,92.221,Microscopic Confirmation
2012,NB,92.724,Microscopic Confirmation
2013,NB,92.383,Microscopic Confirmation
2014,NB,92.464,Microscopic Confirmation
2015,NB,92.318,Microscopic Confirmation
2016,NB,92.186,Microscopic Confirmation
2017,NB,92.487,Microscopic Confirmation
2018,NB,92.274,Microscopic Confirmation
2019,NB,91.600,Microscopic Confirmation
2020,NB,92.688,Microscopic Confirmation
1992,QC,68.057,Microscopic Confirmation
1993,QC,70.258,Microscopic Confirmation
1994,QC,72.020,Microscopic Confirmation
1995,QC,69.448,Microscopic Confirmation
1996,QC,68.287,Microscopic Confirmation
1997,QC,67.764,Microscopic Confirmation
1998,QC,67.986,Microscopic Confirmation
1999,QC,70.286,Microscopic Confirmation
2000,QC,70.498,Microscopic Confirmation
2001,QC,70.528,Microscopic Confirmation
2002,QC,71.550,Microscopic Confirmation
2003,QC,69.974,Microscopic Confirmation
2004,QC,70.453,Microscopic Confirmation
2005,QC,71.244,Microscopic Confirmation
2006,QC,70.941,Microscopic Confirmation
2007,QC,71.791,Microscopic Confirmation
2008,QC,72.615,Microscopic Confirmation
2009,QC,73.198,Microscopic Confirmation
2010,QC,72.314,Microscopic Confirmation
2011,QC,83.000,Microscopic Confirmation
2012,QC,79.937,Microscopic Confirmation
2013,QC,88.986,Microscopic Confirmation
2014,QC,87.904,Microscopic Confirmation
2015,QC,88.196,Microscopic Confirmation
2016,QC,88.177,Microscopic Confirmation
2017,QC,88.404,Microscopic Confirmation
2018,QC,No data,Microscopic Confirmation
2019,QC,No data,Microscopic Confirmation
2020,QC,No data,Microscopic Confirmation
1992,ON,83.310,Microscopic Confirmation
1993,ON,82.396,Microscopic Confirmation
1994,ON,82.742,Microscopic Confirmation
1995,ON,83.024,Microscopic Confirmation
1996,ON,83.758,Microscopic Confirmation
1997,ON,83.744,Microscopic Confirmation
1998,ON,82.964,Microscopic Confirmation
1999,ON,83.062,Microscopic Confirmation
2000,ON,83.422,Microscopic Confirmation
2001,ON,82.254,Microscopic Confirmation
2002,ON,82.916,Microscopic Confirmation
2003,ON,82.896,Microscopic Confirmation
2004,ON,86.256,Microscopic Confirmation
2005,ON,86.157,Microscopic Confirmation
2006,ON,85.815,Microscopic Confirmation
2007,ON,94.481,Microscopic Confirmation
2008,ON,94.616,Microscopic Confirmation
2009,ON,94.584,Microscopic Confirmation
2010,ON,87.980,Microscopic Confirmation
2011,ON,89.134,Microscopic Confirmation
2012,ON,89.067,Microscopic Confirmation
2013,ON,88.455,Microscopic Confirmation
2014,ON,89.575,Microscopic Confirmation
2015,ON,89.895,Microscopic Confirmation
2016,ON,89.781,Microscopic Confirmation
2017,ON,89.177,Microscopic Confirmation
2018,ON,89.536,Microscopic Confirmation
2019,ON,89.147,Microscopic Confirmation
2020,ON,90.852,Microscopic Confirmation
1992,MB,86.729,Microscopic Confirmation
1993,MB,89.020,Microscopic Confirmation
1994,MB,89.192,Microscopic Confirmation
1995,MB,88.287,Microscopic Confirmation
1996,MB,89.357,Microscopic Confirmation
1997,MB,89.360,Microscopic Confirmation
1998,MB,90.410,Microscopic Confirmation
1999,MB,89.161,Microscopic Confirmation
2000,MB,87.528,Microscopic Confirmation
2001,MB,87.411,Microscopic Confirmation
2002,MB,87.028,Microscopic Confirmation
2003,MB,85.745,Microscopic Confirmation
2004,MB,86.685,Microscopic Confirmation
2005,MB,86.688,Microscopic Confirmation
2006,MB,87.051,Microscopic Confirmation
2007,MB,86.590,Microscopic Confirmation
2008,MB,84.877,Microscopic Confirmation
2009,MB,86.404,Microscopic Confirmation
2010,MB,86.641,Microscopic Confirmation
2011,MB,86.158,Microscopic Confirmation
2012,MB,88.120,Microscopic Confirmation
2013,MB,89.519,Microscopic Confirmation
2014,MB,88.754,Microscopic Confirmation
2015,MB,89.158,Microscopic Confirmation
2016,MB,90.267,Microscopic Confirmation
2017,MB,90.176,Microscopic Confirmation
2018,MB,90.776,Microscopic Confirmation
2019,MB,90.219,Microscopic Confirmation
2020,MB,90.939,Microscopic Confirmation
1992,SK,91.201,Microscopic Confirmation
1993,SK,91.414,Microscopic Confirmation
1994,SK,91.116,Microscopic Confirmation
1995,SK,90.393,Microscopic Confirmation
1996,SK,89.592,Microscopic Confirmation
1997,SK,90.689,Microscopic Confirmation
1998,SK,89.931,Microscopic Confirmation
1999,SK,89.835,Microscopic Confirmation
2000,SK,89.588,Microscopic Confirmation
2001,SK,89.279,Microscopic Confirmation
2002,SK,90.111,Microscopic Confirmation
2003,SK,89.820,Microscopic Confirmation
2004,SK,90.578,Microscopic Confirmation
2005,SK,89.482,Microscopic Confirmation
2006,SK,89.507,Microscopic Confirmation
2007,SK,89.833,Microscopic Confirmation
2008,SK,88.747,Microscopic Confirmation
2009,SK,89.317,Microscopic Confirmation
2010,SK,89.239,Microscopic Confirmation
2011,SK,89.536,Microscopic Confirmation
2012,SK,90.460,Microscopic Confirmation
2013,SK,90.438,Microscopic Confirmation
2014,SK,90.980,Microscopic Confirmation
2015,SK,90.806,Microscopic Confirmation
2016,SK,91.846,Microscopic Confirmation
2017,SK,90.749,Microscopic Confirmation
2018,SK,92.043,Microscopic Confirmation
2019,SK,92.926,Microscopic Confirmation
2020,SK,92.856,Microscopic Confirmation
1992,AB,93.948,Microscopic Confirmation
1993,AB,93.360,Microscopic Confirmation
1994,AB,92.303,Microscopic Confirmation
1995,AB,92.417,Microscopic Confirmation
1996,AB,92.076,Microscopic Confirmation
1997,AB,92.823,Microscopic Confirmation
1998,AB,93.104,Microscopic Confirmation
1999,AB,93.011,Microscopic Confirmation
2000,AB,92.718,Microscopic Confirmation
2001,AB,92.435,Microscopic Confirmation
2002,AB,91.863,Microscopic Confirmation
2003,AB,91.539,Microscopic Confirmation
2004,AB,92.194,Microscopic Confirmation
2005,AB,92.584,Microscopic Confirmation
2006,AB,91.919,Microscopic Confirmation
2007,AB,91.230,Microscopic Confirmation
2008,AB,91.295,Microscopic Confirmation
2009,AB,91.997,Microscopic Confirmation
2010,AB,92.421,Microscopic Confirmation
2011,AB,92.337,Microscopic Confirmation
2012,AB,91.734,Microscopic Confirmation
2013,AB,91.704,Microscopic Confirmation
2014,AB,91.767,Microscopic Confirmation
2015,AB,91.778,Microscopic Confirmation
2016,AB,90.993,Microscopic Confirmation
2017,AB,91.010,Microscopic Confirmation
2018,AB,91.154,Microscopic Confirmation
2019,AB,91.088,Microscopic Confirmation
2020,AB,91.342,Microscopic Confirmation
1992,BC,91.474,Microscopic Confirmation
1993,BC,91.052,Microscopic Confirmation
1994,BC,91.113,Microscopic Confirmation
1995,BC,90.671,Microscopic Confirmation
1996,BC,90.623,Microscopic Confirmation
